id,category,claim,source url
1,Law and Regulation,"Under GDPR, controllers do not need data processing agreements with processors because the GDPR imposes direct obligations on processors",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
2,Law and Regulation,"Under GDPR, when relying on consent to process personal data, consent must be explicit",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
3,Law and Regulation,"Under GDPR, everyone needs a data protection officer",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
4,Law and Regulation,The GDPR will only affect organisations in Europe,https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
5,Law and Regulation,"Under GDPR, controllers and processors will only have to answer to a single data protection authority",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
6,Law and Regulation,Biometric data are sensitive data under the GDPR,https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
7,Law and Regulation,"Under GDPR, individuals have an absolute right to be forgotten",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
8,Law and Regulation,"Under GDPR, parental consent is always required when collecting personal data from children",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
9,Law and Regulation,"Under GDPR, every business will be subject to new data portability rules",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
10,Law and Regulation,"Under GDPR, profiling activities always require consent",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
11,Law and Regulation,Pseudonymised data (eg hashed data) are treated exactly like any other personal data under the GDPR,https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
12,Law and Regulation,The GDPR will reduce paperwork for organisations as the notification requirement will be scrapped,https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
13,Law and Regulation,"Since my organisation is compliant under the Directive, there will not be too much work involved in becoming GDPR compliant",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
15,Law and Regulation,"The UK has voted to leave the EU, so there is no need to worry about the GDPR",https://www.henrystewartpublications.com/sites/default/files/Pickering.pdf
19,IoT/CPS,Self-driving cars are controlled by classical computer algorithms (if-then rules),https://www.inventivio.com/innovationbriefs/2016-09/Top-misconceptions-of-self-driving-cars.pdf
23,IoT/CPS,Self-driving cars will increase congestion in cities,https://www.inventivio.com/innovationbriefs/2016-09/Top-misconceptions-of-self-driving-cars.pdf
24,IoT/CPS,Data privacy impedes IoT innovation and implies that IoT data cannot be collected,https://ieeexplore.ieee.org/abstract/document/9952193
25,IoT/CPS,Privacy-preserving IoT is exclusively a regulatory problem,https://ieeexplore.ieee.org/abstract/document/9952193
26,IoT/CPS,Privacy-preserving IoT is exclusively required to comply with data privacy regulations,https://ieeexplore.ieee.org/abstract/document/9952193
27,IoT/CPS,Data privacy is fully preserved if IoT data is securely stored,https://ieeexplore.ieee.org/abstract/document/9952193
28,IoT/CPS,Decentralized IoT (DeIoT) solves the privacy problem and provides absolute data privacy preservation,https://ieeexplore.ieee.org/abstract/document/9952193
30,IoT/CPS,Driverless cars are ready to be sold to ordinary drivers,https://www.sciencedirect.com/science/article/pii/S0965856422000039
31,IoT/CPS,Self-driving vehicles navigate by communicating in real time with each other or with some central computer.,https://www.sciencedirect.com/science/article/pii/S0965856422000039
32,Malware and Device Security,"If I do not notice anything suspicious on my computer, it is not infected",https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
33,Malware and Device Security,There is absolutely no need for expensive security software. There are free programs that are at least as good!,https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
34,Malware and Device Security,Most malicious software is sent as an email attachment,https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
35,Malware and Device Security,"My PC or network cannot be harmed by my visiting a website, if I don't download anything",https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
36,Malware and Device Security,Malware is most commonly downloaded through peer-to-peer and torrent sites,https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
37,Malware and Device Security,Visiting a porn site is more likely to result in being attacked by malware than looking at a page about equestrian sport,https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
38,Malware and Device Security,"If I do not open an infected file, it can't do any harm",https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
39,Malware and Device Security,Most malicious software is distributed via USB sticks,https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
40,Web Security and Privacy,"I can save myself the expense of security software or hardware, because I know my way around and only visit safe websites",https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
41,Malware and Device Security,"My PC holds no valuable data, so why would anyone attack it?",https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
