id,claim,original claim
1,"Because processors are subject to direct obligations under GDPR, controllers do not need data processing agreements with them.","Under GDPR, controllers do not need data processing agreements with processors because the GDPR imposes direct obligations on processors"
1,"Because the GDPR places direct obligations on processors, controllers are exempt from the need for data processing agreements with them.","Under GDPR, controllers do not need data processing agreements with processors because the GDPR imposes direct obligations on processors"
1,Controllers do not need data processing agreements with processors under GDPR because the GDPR imposes direct obligations on processors.,"Under GDPR, controllers do not need data processing agreements with processors because the GDPR imposes direct obligations on processors"
1,"Due to the direct obligations that the GDPR places on processors, controllers are exempt from the requirement to enter into data processing agreements with them.","Under GDPR, controllers do not need data processing agreements with processors because the GDPR imposes direct obligations on processors"
2,"Consent must be explicit under GDPR, when relying on consent to process personal information.","Under GDPR, when relying on consent to process personal data, consent must be explicit"
2,Consent must be expressed explicitly in order to be used under GDPR to process personal data.,"Under GDPR, when relying on consent to process personal data, consent must be explicit"
2,GDPR mandates that consent be given explicitly when used to process personal data.,"Under GDPR, when relying on consent to process personal data, consent must be explicit"
2,GDPR requires explicit consent whenever it is used to process personal data.,"Under GDPR, when relying on consent to process personal data, consent must be explicit"
3,A data protection officer is a requirement under GDPR for everyone.,"Under GDPR, everyone needs a data protection officer"
3,"According to GDPR, everyone requires a data protection officer.","Under GDPR, everyone needs a data protection officer"
3,Everybody is required to have a data protection officer under GDPR.,"Under GDPR, everyone needs a data protection officer"
3,Everyone needs a data protection officer under GDPR.,"Under GDPR, everyone needs a data protection officer"
4,Only company in Europe will be impacted by the GDPR.,The GDPR will only affect organisations in Europe
4,Only European-based businesses will be impacted by the GDPR.,The GDPR will only affect organisations in Europe
4,The GDPR only applies to businesses in Europe.,The GDPR will only affect organisations in Europe
4,The GDPR will only impact businesses in Europe.,The GDPR will only affect organisations in Europe
5,A single data protection authority will be the only one to which controllers and processors are required to answer under GDPR.,"Under GDPR, controllers and processors will only have to answer to a single data protection authority"
5,Controllers and processors will only have one data protection authority to answer to under GDPR.,"Under GDPR, controllers and processors will only have to answer to a single data protection authority"
5,Controllers and processors will only have to answer to one data protection authority under GDPR.,"Under GDPR, controllers and processors will only have to answer to a single data protection authority"
5,"Under GDPR, there will be just one data protection authority to which controllers and processors must answer.","Under GDPR, controllers and processors will only have to answer to a single data protection authority"
6,"According to the GDPR, biometric data is classified as sensitive data. ",Biometric data are sensitive data under the GDPR
6,"According to the GDPR, biometric results are considered sensitive data. ",Biometric data are sensitive data under the GDPR
6,Biometric data are considered sensitive data under the GDPR.,Biometric data are sensitive data under the GDPR
6,"Under the GDPR, biometric results are regarded as sensitive data. ",Biometric data are sensitive data under the GDPR
7,Individuals have the absolute right to be forgotten under GDPR.,"Under GDPR, individuals have an absolute right to be forgotten"
7,People have a absolute right to be forgotten under GDPR.,"Under GDPR, individuals have an absolute right to be forgotten"
7,The GDPR guarantees an individual's absolute right to be forgotten. ,"Under GDPR, individuals have an absolute right to be forgotten"
7,The right to be forgotten is absolutely guaranteed by GDPR.,"Under GDPR, individuals have an absolute right to be forgotten"
8,"In accordance with GDPR, parental consent is always required when collecting children's personal information.","Under GDPR, parental consent is always required when collecting personal data from children"
8,"When collecting children's personal data under GDPR, parental consent is always required.","Under GDPR, parental consent is always required when collecting personal data from children"
8,"When collecting children's personal data, GDPR mandates that parental consent be obtained in all cases.","Under GDPR, parental consent is always required when collecting personal data from children"
8,"When collecting personal information from children under GDPR, parental consent is always required.","Under GDPR, parental consent is always required when collecting personal data from children"
9,Any company will be subjected to new data portability legislation as a result of GDPR.,"Under GDPR, every business will be subject to new data portability rules"
9,New data portability regulations will apply to all businesses under GDPR.,"Under GDPR, every business will be subject to new data portability rules"
9,New data portability regulations will be imposed by GDPR on all businesses.,"Under GDPR, every business will be subject to new data portability rules"
9,New rules for data portability will be imposed on all businesses under GDPR.,"Under GDPR, every business will be subject to new data portability rules"
10,A consent is always required for profiling operations under GDPR.,"Under GDPR, profiling activities always require consent"
10,Activities involving profiling are always subject to consent under GDPR.,"Under GDPR, profiling activities always require consent"
10,Activities involving profiling must always have consent under GDPR.,"Under GDPR, profiling activities always require consent"
10,Profiling activities always require permission under GDPR.,"Under GDPR, profiling activities always require consent"
11,"According to the GDPR, pseudonymized data (such as hashed data) is treated in the same way as other personal data.",Pseudonymised data (eg hashed data) are treated exactly like any other personal data under the GDPR
11,Pseudonymized records (eg hashed records) are treated in the same way as any other personal information under GDPR.,Pseudonymised data (eg hashed data) are treated exactly like any other personal data under the GDPR
11,The GDPR treats pseudonymized data (such as hashed data) the same as other personal data.,Pseudonymised data (eg hashed data) are treated exactly like any other personal data under the GDPR
11,"Under the GDPR, pseudonymized data (such as hashed data) are treated in the same way as other personal data.",Pseudonymised data (eg hashed data) are treated exactly like any other personal data under the GDPR
12,"As the notification requirement is eliminated by the GDPR, organizations will have less paperwork.",The GDPR will reduce paperwork for organisations as the notification requirement will be scrapped
12,"Because the notification requirement is being eliminated, the GDPR will result in less paperwork for organizations.",The GDPR will reduce paperwork for organisations as the notification requirement will be scrapped
12,"Due to the elimination of the notification requirement, the GDPR will result in less paperwork for organizations.",The GDPR will reduce paperwork for organisations as the notification requirement will be scrapped
12,Organizations will have less paperwork thanks to the GDPR because the notification requirement is being eliminated.,The GDPR will reduce paperwork for organisations as the notification requirement will be scrapped
13,It won't take too much effort to comply with GDPR because my organization already complies with the Directive. ,"Since my organisation is compliant under the Directive, there will not be too much work involved in becoming GDPR compliant"
13,"My company is compliant under the directive, so there will not be too much work involved in making GDPR compliant.","Since my organisation is compliant under the Directive, there will not be too much work involved in becoming GDPR compliant"
13,There won't be a lot of work involved in becoming GDPR compliant because my organization is already compliant under the Directive. ,"Since my organisation is compliant under the Directive, there will not be too much work involved in becoming GDPR compliant"
13,There won't be much work involved in becoming GDPR compliant since my organization complies with the Directive. ,"Since my organisation is compliant under the Directive, there will not be too much work involved in becoming GDPR compliant"
15,The GDPR is unimportant because the UK chose to leave the EU.,"The UK has voted to leave the EU, so there is no need to worry about the GDPR"
15,"The United Kingdom has voted to leave the EU, so there is no reason to be concerned about the GDPR.","The UK has voted to leave the EU, so there is no need to worry about the GDPR"
15,There is no need to be concerned about the GDPR because the UK chose to leave the EU.,"The UK has voted to leave the EU, so there is no need to worry about the GDPR"
15,There is no need to worry about the GDPR because the UK chose to leave the EU.,"The UK has voted to leave the EU, so there is no need to worry about the GDPR"
19,Autonomous vehicles are managed by conventional computer algorithms (if-then rules).,Self-driving cars are controlled by classical computer algorithms (if-then rules)
19,Classic computer algorithms are used to control self-driving vehicles (if-then rules).,Self-driving cars are controlled by classical computer algorithms (if-then rules)
19,Classical computer algorithms (if-then rules) govern the operation of self-driving cars.,Self-driving cars are controlled by classical computer algorithms (if-then rules)
19,Traditional computer algorithms (if-then rules) are used to operate self-driving cars.,Self-driving cars are controlled by classical computer algorithms (if-then rules)
23,Autonomous vehicles will make cities more congested.,Self-driving cars will increase congestion in cities
23,Cities will become more congested as a result of self-driving cars.,Self-driving cars will increase congestion in cities
23,Congestion in cities will rise as a result of autonomous vehicles.,Self-driving cars will increase congestion in cities
23,"In cities, self-driving cars will increase congestion.",Self-driving cars will increase congestion in cities
24,Data privacy stifles Internet of Things innovation and suggests that IoT data cannot be gathered. ,Data privacy impedes IoT innovation and implies that IoT data cannot be collected
24,"Innovation in the IoT is hampered by data privacy, which implies that IoT data cannot be gathered.",Data privacy impedes IoT innovation and implies that IoT data cannot be collected
24,"IoT innovation is hampered by data privacy, which suggests that IoT data cannot be gathered.",Data privacy impedes IoT innovation and implies that IoT data cannot be collected
24,"IoT innovation is hindered by data privacy, which also means that IoT data cannot be collected.",Data privacy impedes IoT innovation and implies that IoT data cannot be collected
25,IoT privacy protection is completely a regulatory issue.,Privacy-preserving IoT is exclusively a regulatory problem
25,IoT privacy protection is only a regulatory issue.,Privacy-preserving IoT is exclusively a regulatory problem
25,IoT privacy protection is solely a regulatory issue.,Privacy-preserving IoT is exclusively a regulatory problem
25,The privacy-preserving IoT is purely a regulatory issue.,Privacy-preserving IoT is exclusively a regulatory problem
26,IoT that protects privacy only needs to adhere to data privacy laws. ,Privacy-preserving IoT is exclusively required to comply with data privacy regulations
26,IoT that protects privacy only needs to follow the rules regarding data privacy. ,Privacy-preserving IoT is exclusively required to comply with data privacy regulations
26,Only following data privacy laws is necessary for privacy-preserving IoT. ,Privacy-preserving IoT is exclusively required to comply with data privacy regulations
26,Privacy-preserving IoT is only required to adhere to data privacy legislation.,Privacy-preserving IoT is exclusively required to comply with data privacy regulations
27,"If IoT data is securely stored, data privacy is absolutely safeguarded.",Data privacy is fully preserved if IoT data is securely stored
27,"If IoT data is securely stored, data privacy is completely maintained.",Data privacy is fully preserved if IoT data is securely stored
27,"If IoT data is securely stored, data privacy is fully maintained.",Data privacy is fully preserved if IoT data is securely stored
27,IoT data that is securely stored maintains full data privacy.,Data privacy is fully preserved if IoT data is securely stored
28,Decentralized IoT (DeIoT) offers complete data privacy preservation and addresses the privacy issue.,Decentralized IoT (DeIoT) solves the privacy problem and provides absolute data privacy preservation
28,Decentralized IoT (DeIoT) solves the privacy issue and ensures complete data privacy protection.,Decentralized IoT (DeIoT) solves the privacy problem and provides absolute data privacy preservation
28,The privacy issue is resolved and complete data privacy is preserved by decentralized IoT (DeIoT).,Decentralized IoT (DeIoT) solves the privacy problem and provides absolute data privacy preservation
28,"The privacy issue is resolved by decentralized IoT (DeIoT), which guarantees complete data privacy preservation.",Decentralized IoT (DeIoT) solves the privacy problem and provides absolute data privacy preservation
30,Autonomous vehicles are prepared to be sold to regular motorists.,Driverless cars are ready to be sold to ordinary drivers
30,The first consumer-facing driverless cars are now available for purchase.,Driverless cars are ready to be sold to ordinary drivers
30,The first driverless cars are now available for purchase by regular motorists.,Driverless cars are ready to be sold to ordinary drivers
30,The public can already purchase driverless cars.,Driverless cars are ready to be sold to ordinary drivers
31,Autonomous vehicles navigate by exchanging real-time messages with one another or a centralized computer.,Self-driving vehicles navigate by communicating in real time with each other or with some central computer.
31,Self-driving cars navigate by interacting in real time with each other or with some central computer.,Self-driving vehicles navigate by communicating in real time with each other or with some central computer.
31,Self-driving cars use real-time communication with each other or a centralized computer to navigate.,Self-driving vehicles navigate by communicating in real time with each other or with some central computer.
31,The real-time communication between autonomous vehicles and a centralized computer is how they navigate.,Self-driving vehicles navigate by communicating in real time with each other or with some central computer.
32,I can tell if my computer is infected if I don't see anything odd there.,"If I do not notice anything suspicious on my computer, it is not infected"
32,"If I don't find anything suspicious on my computer, it is not infected.","If I do not notice anything suspicious on my computer, it is not infected"
32,My computer is not infected if I do not see anything odd on it.,"If I do not notice anything suspicious on my computer, it is not infected"
32,My computer is not infected if there is nothing suspicious on it. ,"If I do not notice anything suspicious on my computer, it is not infected"
33,Costly security software is not at all necessary.,There is absolutely no need for expensive security software. There are free programs that are at least as good!
33,Expense-involved security software is not at all necessary.,There is absolutely no need for expensive security software. There are free programs that are at least as good!
33,Expensive security software is not at all necessary.,There is absolutely no need for expensive security software. There are free programs that are at least as good!
33,"There is no need for costly security software, but there are free ones that are at least as good!",There is absolutely no need for expensive security software. There are free programs that are at least as good!
34,Email attachments are the primary delivery method for malicious software.,Most malicious software is sent as an email attachment
34,Malicious software is typically delivered via email attachment. ,Most malicious software is sent as an email attachment
34,The majority of harmful software is delivered via email attachment.,Most malicious software is sent as an email attachment
34,The majority of malicious software is delivered as an email attachment.,Most malicious software is sent as an email attachment
35,"As long as I don't download anything, visiting a website won't harm my computer or network.","My PC or network cannot be harmed by my visiting a website, if I don't download anything"
35,"If I don't download anything when I visit a website, neither my PC nor my network can be harmed.","My PC or network cannot be harmed by my visiting a website, if I don't download anything"
35,"If I don't download anything while visiting a website, it cannot harm my PC or network.","My PC or network cannot be harmed by my visiting a website, if I don't download anything"
35,"If I don't download anything, my computer or network will not be affected by my visiting a website.","My PC or network cannot be harmed by my visiting a website, if I don't download anything"
36,Malware is most commonly downloaded via peer-to-peer and torrent pages.,Malware is most commonly downloaded through peer-to-peer and torrent sites
36,Most malware is downloaded from peer-to-peer and torrent websites.,Malware is most commonly downloaded through peer-to-peer and torrent sites
36,Peer-to-peer and torrent websites are where malware is most frequently downloaded from.,Malware is most commonly downloaded through peer-to-peer and torrent sites
36,Torrent and peer-to-peer networks are where malware is most frequently downloaded.,Malware is most commonly downloaded through peer-to-peer and torrent sites
37,A page about equestrian sport is less likely to expose you to malware than a porn site.,Visiting a porn site is more likely to result in being attacked by malware than looking at a page about equestrian sport
37,"As opposed to looking at a page about equestrian sport, visiting a porn website increases your risk of getting infected by malware.",Visiting a porn site is more likely to result in being attacked by malware than looking at a page about equestrian sport
37,Looking at a page about equestrian sport is less likely to result in malware attack than visiting a porn website.,Visiting a porn site is more likely to result in being attacked by malware than looking at a page about equestrian sport
37,Malware attacks are more likely to occur when visiting a porn website than when viewing a page about equestrian sport.,Visiting a porn site is more likely to result in being attacked by malware than looking at a page about equestrian sport
38,A malicious file cannot cause me harm if I don't open it.,"If I do not open an infected file, it can't do any harm"
38,An infected file can't harm me if I don't open it.,"If I do not open an infected file, it can't do any harm"
38,I won't be harmed if I don't open a malicious file. ,"If I do not open an infected file, it can't do any harm"
38,"If I do not open an infected file, it won't do me any harm.","If I do not open an infected file, it can't do any harm"
39,The bulk of malicious software is distributed via USB sticks.,Most malicious software is distributed via USB sticks
39,USB sticks are the main method used to spread malicious software.,Most malicious software is distributed via USB sticks
39,USB sticks are the primary means by which malicious software is spread.,Most malicious software is distributed via USB sticks
39,USB sticks are the primary means of spreading malicious software.,Most malicious software is distributed via USB sticks
40,"Because I am savvy and only use secure websites, I can avoid spending money on security software or hardware.","I can save myself the expense of security software or hardware, because I know my way around and only visit safe websites"
40,I can avoid spending money on security software or hardware because I am savvy and only visit secure websites.,"I can save myself the expense of security software or hardware, because I know my way around and only visit safe websites"
40,"Since I am savvy and only use secure websites, I can avoid spending money on security software or hardware.","I can save myself the expense of security software or hardware, because I know my way around and only visit safe websites"
40,"Since I know my way around and only visit secure websites, I can save myself the expense of security software or hardware.","I can save myself the expense of security software or hardware, because I know my way around and only visit safe websites"
41,"My PC has no useful information, so why does anyone bother it?","My PC holds no valuable data, so why would anyone attack it?"
41,Nobody would attack my PC because it doesn't contain any important information. ,"My PC holds no valuable data, so why would anyone attack it?"
41,"There is no valuable information on my PC, so why would someone attack it? ","My PC holds no valuable data, so why would anyone attack it?"
41,Why would anyone attack my PC when it contains no important data? ,"My PC holds no valuable data, so why would anyone attack it?"
42,It is quite safe because my computer doesn't run Windows.,"My PC doesn't run Windows, so it is quite safe"
